CustomerId,cluster,n_orders,recency_days,monetary,avg_aov,late_rate,avg_sched_days,avg_delay,unique_categories,unique_countries
1,0,1,792,1.5220652598599576e+205,1.5220652598599576e+205,1.0,4.0,2.0,1,1
2,0,4,136,inf,5.543461768340338e+175,0.25,4.0,0.25,7,4
3,0,5,229,inf,1.0242254256739626e+277,0.0,2.4,-0.2,9,5
4,0,4,380,inf,5.835053450094332e+160,0.75,2.25,0.5,5,4
5,0,3,457,inf,3.305660363022509e+159,0.3333333333333333,3.3333333333333335,0.0,5,3
6,0,4,646,inf,inf,0.75,3.0,1.5,8,3
7,0,7,220,inf,1.3260032407937476e+302,0.42857142857142855,4.0,0.14285714285714285,7,7
8,0,8,126,inf,1.5380398962652957e+185,0.375,3.125,0.125,7,5
9,0,5,140,inf,1.030691701314836e+256,1.0,1.4,2.0,10,5
10,0,2,307,inf,2.4391645825046635e+245,0.5,4.0,0.5,5,2
11,0,4,371,inf,2.759611287348739e+234,0.5,3.5,-0.25,8,3
12,0,8,255,inf,3.1366106348925066e+301,0.375,2.25,0.25,10,6
13,0,4,193,inf,4.164313128180689e+305,0.75,3.0,1.5,9,4
14,0,7,158,inf,9.198546362603234e+133,0.2857142857142857,2.857142857142857,0.0,9,7
15,1,1,420,1.6932693835405792e+98,1.6932693835405792e+98,0.0,2.0,0.0,3,1
16,0,6,123,inf,1.1686061434982119e+157,0.3333333333333333,3.0,-0.5,8,6
17,0,5,284,inf,inf,0.4,4.0,0.4,9,5
18,0,6,405,inf,4.245412393349716e+235,0.5,2.3333333333333335,0.5,7,6
19,0,8,464,inf,6.021716036133223e+216,0.5,2.75,0.875,10,7
20,0,4,291,inf,6.351160276809361e+163,0.75,3.5,0.5,4,4
21,0,4,295,inf,2.251894884381192e+273,0.75,2.0,0.25,9,4
22,0,5,387,inf,2.934266523688462e+218,0.6,2.6,1.2,11,5
23,0,6,501,inf,4.058027258409039e+266,0.5,2.6666666666666665,1.0,10,6
24,0,4,684,inf,3.180190358339878e+271,0.25,2.75,0.0,7,4
25,0,2,641,inf,7.049470996266107e+171,1.0,2.5,1.0,4,2
26,0,5,190,inf,3.0279668616671297e+260,0.6,4.0,0.8,7,5
27,0,4,301,inf,5.83028833749033e+199,0.5,1.75,0.25,6,4
28,0,4,296,inf,9.435321375176665e+212,0.5,3.5,0.5,5,4
29,0,2,354,inf,5.7385724516431695e+268,0.5,4.0,0.0,4,2
30,0,2,580,inf,9.408630988717169e+216,0.0,4.0,-1.0,7,2
31,0,6,527,inf,1.1697879707200875e+243,0.3333333333333333,3.0,0.16666666666666666,8,5
32,0,5,326,inf,5.289835709537467e+267,0.2,2.8,0.2,10,4
33,1,2,779,inf,1.1860615727345185e+257,1.0,2.0,2.5,4,2
34,0,7,132,inf,5.867635255579542e+166,0.8571428571428571,2.4285714285714284,0.7142857142857143,10,7
35,0,4,402,inf,5.27523465041357e+229,0.75,2.75,2.0,9,4
36,1,2,167,inf,7.464189431415639e+263,1.0,2.0,1.5,4,2
37,1,3,176,inf,4.353323774273304e+175,0.6666666666666666,2.0,2.0,6,3
38,0,6,332,inf,1.5935263957494117e+175,0.5,3.0,0.6666666666666666,8,5
39,0,5,234,inf,1.7158832513461027e+236,0.4,3.2,0.0,12,5
40,0,7,151,inf,3.400076551185178e+287,0.8571428571428571,3.0,1.0,10,6
41,0,4,136,inf,9.465623395625845e+292,0.25,2.0,0.25,7,4
42,0,7,247,inf,1.9785651425298347e+182,0.5714285714285714,3.0,0.7142857142857143,11,6
43,0,2,215,inf,3.403326437876176e+238,0.5,3.0,0.0,6,2
44,0,6,322,inf,7.670192545547988e+188,0.6666666666666666,2.6666666666666665,0.3333333333333333,8,6
45,0,5,217,inf,1.3955702631840652e+261,0.2,4.0,-0.2,8,5
46,0,5,352,inf,8.129974156855026e+305,0.6,1.6,0.2,11,5
